"Designator","Mid X","Mid Y","Layer","Rotation"
"U3","136.15mm","-96.15mm","bottom","0.0"
"U1","119.55mm","-106.6mm","bottom","180.0"
"R5","124.75mm","-91.5mm","bottom","90.0"
"R4","109.8mm","-90.2mm","bottom","0.0"
"R3","155.1mm","-84.2mm","bottom","90.0"
"R2","155.1mm","-89.4mm","bottom","270.0"
"R1","117.75mm","-91.5mm","bottom","270.0"
"Q1","160.15mm","-88.15mm","bottom","180.0"
"D1","157.8mm","-94.15mm","bottom","0.0"
"C2","121.15mm","-91.5mm","bottom","90.0"
"C1","151.5mm","-90.35mm","bottom","90.0"
