Designator,Mid X,Mid Y,Rotation,Layer
C1,134.500000,-72.530000,90.000000,top
C2,137.980000,-72.530000,90.000000,top
D1,105.440000,-86.050000,90.000000,top
J1,152.150000,-78.770000,0.000000,top
R1,137.690000,-85.450000,90.000000,top
R2,134.520000,-85.450000,90.000000,top
R3,101.440000,-86.090000,90.000000,top
R4,103.420000,-86.090000,90.000000,top
SW1,103.500000,-74.510000,-90.000000,top
U1,136.560000,-78.890000,-90.000000,top
U2,119.270000,-79.030000,90.000000,top
U3,104.050000,-82.940000,90.000000,top

